loan_id,credit_score,debt_to_income_ratio,loan_to_value_ratio,missed_payments_12m,days_past_due,repayment_status,default_flag,risk_band,expected_loss_amount
LOAN002346,670.0,0.747,0.569,4,40,Current,0,Medium,71715.45
LOAN002347,719.0,0.478,0.875,0,0,Current,0,Low,55860.48
LOAN002348,701.0,0.369,0.759,0,0,Current,0,Low,19376.24
LOAN002349,651.0,0.613,0.517,0,0,Current,0,Medium,7193.91
LOAN002350,626.0,0.588,0.587,2,42,Current,0,Medium,143098.22
LOAN002351,679.0,0.595,,0,0,Current,0,Low,10942.18
LOAN002352,704.0,0.871,,3,57,Current,0,Medium,39598.16
LOAN002353,685.0,0.129,,0,0,Current,0,Low,4075.6
LOAN002354,657.0,0.229,0.847,0,0,Current,0,Low,5127.13
LOAN002355,683.0,0.76,0.506,2,18,Paid Off,0,Medium,79264.09
LOAN002356,657.0,0.61,0.774,0,0,Current,0,Medium,7920.62
LOAN002357,679.0,0.247,,0,0,Current,0,Low,4637.33
LOAN002358,712.0,0.279,0.628,1,24,Current,0,Low,6011.31
LOAN002359,702.0,0.437,0.626,0,0,Current,0,Low,33625.38
LOAN002360,663.0,0.529,0.784,0,0,Current,0,Low,53635.25
LOAN002361,674.0,0.683,0.624,0,0,Current,0,Medium,27144.39
LOAN002362,750.0,0.469,,0,0,Current,0,Low,53712.53
LOAN002363,594.0,1.282,0.684,3,145,Defaulted,1,High,1186872.03
LOAN002364,620.0,0.562,0.651,2,16,Current,0,Medium,211176.46
LOAN002365,614.0,1.245,0.505,6,180,Defaulted,1,High,1402924.33
LOAN002366,695.0,0.593,0.523,5,168,Defaulted,1,Medium,152524.66
LOAN002367,687.0,0.437,,0,0,Current,0,low,3089.87
LOAN002368,661.0,0.538,,0,0,current,0,Low,16721.24
LOAN002369,686.0,0.521,,0,0,Current,0,Low,13933.49
LOAN002370,667.0,0.747,0.818,3,72,Current,0,Medium,119384.78
LOAN002371,673.0,0.596,0.9,0,0,Current,0,Medium,46992.26
LOAN002372,616.0,0.882,0.541,6,139,Written Off,1,High,919148.13
LOAN002373,649.0,0.829,,3,45,Current,0,Medium,495548.75
LOAN002374,685.0,0.34,0.601,0,0,Current,0,Low,6080.24
LOAN002375,592.0,0.847,0.671,4,44,Current,0,High,620731.01
LOAN002376,650.0,0.736,0.535,4,52,Current,0,Medium,41637.09
LOAN002377,703.0,0.218,,0,0,Current,0,Low,6715.59
LOAN002378,658.0,0.681,0.624,0,0,Current,0,Medium,5405.19
LOAN002379,621.0,1.35,0.505,2,93,Defaulted,1,High,2294298.66
LOAN002380,692.0,0.32,0.643,0,0,Current,0,Low,4641.5
LOAN002381,668.0,0.447,,0,0,Current,0,Low,7089.91
LOAN002382,640.0,0.804,0.947,0,0,Current,0,Medium,234123.06
LOAN002383,625.0,0.477,0.702,3,48,Current,0,Medium,29611.56
LOAN002384,639.0,0.662,0.511,3,57,Paid Off,0,Medium,160603.37
LOAN002385,723.0,0.637,0.712,1,25,Current,0,Medium,13412.79
LOAN002386,681.0,0.56,0.719,0,0,Paid Off,0,Low,22438.79
LOAN002387,676.0,0.517,0.529,0,0,Current,0,Low,44272.99
LOAN002388,637.0,0.734,,4,52,Current,0,Medium,69522.68
LOAN002389,715.0,0.397,,1,15,Current,0,Low,2412.8
LOAN002390,611.0,0.739,0.613,4,84,Restructured,0,High,181855.1
LOAN002391,716.0,0.579,0.555,0,0,Current,0,Low,9626.44
LOAN002392,676.0,0.366,0.83,1,19,Current,0,Low,20957.65
LOAN002393,686.0,0.459,0.748,0,0,Current,0,Low,8888.79
LOAN002394,678.0,0.743,0.568,1,19,Current,0,Medium,119627.47
LOAN002395,635.0,0.71,0.548,4,64,Restructured,0,Medium,39493.83
LOAN002396,780.0,0.305,0.843,0,0,Current,0,Low,5449.85
LOAN002397,664.0,0.375,0.515,0,0,Current,0,Low,13096.3
LOAN002398,628.0,0.411,0.621,3,24,Current,0,Medium,49300.14
LOAN002399,680.0,0.749,0.838,1,16,Current,0,Medium,371054.98
LOAN002400,660.0,0.445,,0,0,Current,0,Low,7345.27
LOAN002401,696.0,0.923,0.611,1,17,Current,0,Medium,486004.88
LOAN002402,616.0,0.882,0.615,3,57,Current,0,High,438818.4
LOAN002403,636.0,0.674,0.851,5,105,Restructured,0, high ,155693.39
LOAN002404,713.0,0.256,,0,0,Current,0,Low,2659.42
LOAN002405,675.0,0.604,,0,0,Paid Off,0,Low,7780.74
LOAN002406,794.0,0.197,0.594,1,20,Current,0,Low,7406.65
LOAN002407,674.0,0.603,,2,105,Defaulted,1,Medium,170897.55
LOAN002408,632.0,0.862,0.676,4,88,Restructured,0,High,400871.7
LOAN002409,739.0,0.484,0.637,1,10,Current,0,Low,32670.58
LOAN002410,597.0,0.951,0.915,2,87,Defaulted,1,High,452656.12
LOAN002411,615.0,0.726,,3,48,Current,0,Medium,50720.38
LOAN002412,677.0,0.334,,2,24,Current,0,Medium,2709.93
LOAN002413,688.0,0.722,0.936,0,0,Current,0,Medium,556544.97
LOAN002414,613.0,1.175,0.547,3,60,Current,0,High,1931309.75
LOAN002415,,1.143,0.681,7,102,Defaulted,1,High,504665.42
LOAN002416,681.0,0.635,,1,9,Current,0,Medium,15310.17
LOAN002417,659.0,0.792,0.514,3,54,Current,0,Medium,138715.73
LOAN002418,684.0,0.404,0.906,0,0,Current,0,Low,4113.17
LOAN002419,722.0,0.41,,0,0,Current,0,Low,5376.78
LOAN002420,625.0,0.604,0.743,6,180,Defaulted,1,High,320340.07
LOAN002421,686.0,0.474,0.633,7,180,Defaulted,1,High,99786.56
LOAN002422,678.0,0.573,,0,0,Current,0, low ,12646.84
LOAN002423,672.0,0.348,0.803,1,11,Current,0,Low,9556.76
LOAN002424,729.0,0.357,0.658,0,0,Current,0,Low,1087.97
LOAN002425,718.0,0.358,,0,0,Current,0,Low,1190.38
LOAN002426,715.0,0.526,0.787,0,0, Paid Off ,0,Low,18770.46
LOAN002427,706.0,0.426,0.619,0,0,Current,0,Low,15658.95
LOAN002428,625.0,0.75,0.569,6,180,Defaulted,1,High,44786.73
LOAN002429,721.0,0.709,0.58,0,0,Current,0,Low,7790.47
LOAN002430,714.0,0.623,0.718,0,0,current,0,Low,34638.54
LOAN002431,686.0,0.284,0.844,0,0,Current,0,Low,6996.48
LOAN002432,666.0,0.41,0.871,0,0,Current,0,Low,1331.84
LOAN002433,636.0,0.416,0.867,3,30,Current,0,Medium,4245.49
LOAN002434,669.0,0.728,0.685,2,40,Current,0,Medium,242790.06
LOAN002435,679.0,0.523,0.544,0,0,Current,0,Low,58340.32
LOAN002436,747.0,0.614,,0,0,Current,0,Low,3150.86
LOAN002437,744.0,0.446,,0,0,current,0,Low,11443.41
LOAN002438,596.0,1.107,,2,22,Current,0,High,2891252.95
LOAN002439,656.0,0.664,0.509,0,0,Current,0,Medium,69931.97
LOAN002440,645.0,0.53,,2,28,Current,0,Medium,22709.48
LOAN002441,692.0,0.38,,0,0,Current,0,Low,12211.0
LOAN002442,751.0,0.741,0.55,2,48,Current,0,Medium,165902.44
LOAN002443,695.0,0.427,,0,0,Current,0,Low,51397.26
LOAN002444,,0.611,0.726,0,0,Current,0,Low,87652.06
LOAN002445,724.0,0.375,,1,15,Current,0,Low,7907.37
LOAN002446,664.0,0.93,0.572,4,72,Restructured,0,High,93685.48
LOAN002447,734.0,0.194,,0,0,Current,0,Low,8919.19
LOAN002448,628.0,0.686,0.571,2,16,Current,0,Medium,143608.27
LOAN002449,681.0,0.431,0.943,0,0,Current,0,Low,155580.73
LOAN002450,,0.653,0.53,5,115,Late,0,High,18345.63
LOAN002451,653.0,0.678,0.586,0,0,Current,0,Medium,93770.36
LOAN002452,662.0,0.6,0.918,0,0,Current,0,Medium,66095.37
LOAN002453,671.0,0.664,,0,0,Current,0,Medium,25987.07
LOAN002454,712.0,0.479,0.601,0,0,Current,0,Low,24356.94
LOAN002455,723.0,0.749,0.897,2,34,Current,0,Medium,194234.66
LOAN002456,685.0,0.724,,1,17,Paid Off,0,Medium,141467.61
LOAN002457,649.0,0.736,0.911,5,70,Restructured,0,High,40987.49
LOAN002458,639.0,0.355,0.545,4,76,Restructured,0,Medium,35254.52
LOAN002459,593.0,1.207,0.65,2,20,Current,0,High,1129921.08
LOAN002460,,0.806,0.68,5,70,Current,0,High,638220.36
LOAN002461,589.0,1.35,0.56,4,130,Defaulted,1,High,768068.66
LOAN002462,647.0,0.981,0.935,6,48,Current,0,High,1104667.14
LOAN002463,767.0,0.407,0.912,1,23,Current,0,Low,22971.55
LOAN002464,686.0,0.749,,5,60,Current,0, Medium ,321350.14
LOAN002465,617.0,0.639,,5,177,Defaulted,1,High,20423.11
LOAN002466,719.0,0.662,0.671,4,99,Defaulted,1,Medium,73692.04
LOAN002467,677.0,0.252,0.725,0,0,Current,0,Low,2286.21
LOAN002468,666.0,0.507,0.84,6,180,Defaulted,1,High,163073.07
LOAN002469,673.0,0.691,0.591,0,0,Current,0, Medium ,32514.66
LOAN002470,663.0,0.601,0.537,0,0,Current,0,Medium,31675.75
LOAN002471,663.0,0.685,0.918,0,0,Current,0,Medium,378038.99
LOAN002472,699.0,0.637,,0,0,Current,0,Low,12660.25
LOAN002473,653.0,0.578,0.565,0,0,Current,0,Medium,54391.35
LOAN002474,707.0,0.801,0.521,3,75,Late,0,Medium,318228.66
LOAN002475,705.0,0.399,0.618,0,0,Paid Off,0,Low,1481.75
LOAN002476,638.0,0.808,,2,16,Current,0,Medium,843365.45
LOAN002477,645.0,0.735,0.708,3,57, current ,0,Medium,639631.45
LOAN002478,679.0,0.865,0.563,5,144,Defaulted,1,High,186737.83
LOAN002479,645.0,0.836,0.928,4,72,Late,0,High,123892.03
LOAN002480,,0.192,,0,0,Paid Off,0,Low,1904.07
LOAN002481,748.0,0.443,,0,0,Current,0,Low,112093.45
LOAN002482,591.0,0.802,0.649,3,27,Current,0,High,180188.95
LOAN002483,618.0,0.88,0.781,3,57,Current,0,High,283806.02
LOAN002484,673.0,0.545,,0,0,Current,0,Low,18606.01
LOAN002485,708.0,0.279,,1,21,Current,0,Low,4772.63
LOAN002486,762.0,0.313,0.631,1,12,Current,0,Low,5608.8
LOAN002487,713.0,0.353,,1,19,Current,0,Low,7360.59
LOAN002488,732.0,0.446,0.904,4,180,Defaulted,1,Medium,118735.37
LOAN002489,563.0,0.99,0.653,5,85,Restructured,0,High,54307.55
LOAN002490,710.0,0.383,,0,0,Current,0,Low,20138.04
LOAN002491,673.0,0.472,0.538,0,0,Current,0,Low,87357.37
LOAN002492,656.0,0.229,0.746,0,0,Current,0,Low,4283.98
LOAN002493,667.0,0.547,0.627,1,11,Current,0,Medium,7312.26
LOAN002494,675.0,0.487,,0,0,Current,0,Low,22648.59
LOAN002495,657.0,0.71,0.667,0,0,Current,0,Medium,82616.31
LOAN002496,708.0,0.421,0.665,1,18,Current,0,Low,26936.1
LOAN002497,660.0,0.859,0.789,3,141,Defaulted,1,High,231862.34
LOAN002498,655.0,0.498,0.541,0,0,Current,0,Low,162369.77
LOAN002499,659.0,0.548,,0,0,Current,0,Low,6777.98
LOAN002500,764.0,0.481,0.76,0,0,Current,0,Low,11573.44
LOAN002501,675.0,0.253,,0,0,Current,0,low,7796.5
LOAN002502,708.0,0.938,0.501,4,173,Defaulted,1,High,96470.42
LOAN002503,,0.307,0.512,1,14,Current,0,Low,13024.96
LOAN002504,714.0,0.317,0.81,0,0,Current,0,Low,11087.59
LOAN002505,683.0,,,0,0,Current,0,Low,5127.18
LOAN002506,698.0,0.506,0.618,0,0,Current,0,Low,6832.9
LOAN002507,664.0,0.446,,0,0,Current,0,Low,7998.86
LOAN002508,656.0,1.139,0.538,6,165,Defaulted,1,High,350871.73
LOAN002509,688.0,0.498,,0,0,Current,0,Low,6108.42
LOAN002510,622.0,1.112,0.646,0,0,Current,0,Medium,628802.22
LOAN002511,709.0,0.406,0.678,0,0,Paid Off,0,Low,7435.31
LOAN002512,647.0,0.49,0.915,3,72,Late,0,Medium,169145.05
LOAN002513,745.0,0.374,0.833,0,0,Current,0,Low,43177.53
LOAN002514,713.0,0.432,0.767,1,22,Current,0,Low,3540.62
LOAN002515,628.0,0.742,0.598,3,57,Current,0,Medium,313091.2
LOAN002516,677.0,0.435,,0,0,Current,0,Low,6234.89
LOAN002517,662.0,0.691,0.537,0,0,Current,0,Medium,16045.6
LOAN002518,625.0,0.532,,2,24,Current,0,Medium,22740.13
LOAN002519,,0.44,0.654,0,0,Current,0,Low,43130.04
LOAN002520,710.0,0.312,0.633,0,0,Current,0,Low,17694.27
LOAN002521,626.0,0.991,0.702,2,46,Current,0,Medium,272992.69
LOAN002522,670.0,0.749,0.502,3,60,Current,0,Medium,68811.33
LOAN002523,561.0,1.06,0.574,2,16,Current,0,High,432150.17
LOAN002524,690.0,,,0,0,Current,0, LOW ,6394.01
LOAN002525,685.0,0.396,,0,0,Current,0,Low,14649.47
LOAN002526,707.0,0.406,,1,18,Current,0,Low,4315.48
LOAN002527,676.0,0.587,0.574,0,0,Current,0,Low,94273.07
LOAN002528,618.0,0.68,,1,17,Current,0,Medium,42300.73
LOAN002529,692.0,0.712,0.504,3,152,Defaulted,1,Medium,178310.31
LOAN002530,722.0,0.338,,0,0,Current,0,Low,3958.62
LOAN002531,683.0,0.735,0.508,2,50,Current,0,Medium,114995.34
LOAN002532,729.0,0.265,0.917,0,0,Current,0,Low,4219.75
LOAN002533,652.0,0.994,0.768,7,180,Defaulted,1,High,1028704.82
LOAN002534,668.0,0.287,,0,0,Current,0,Low,2819.29
LOAN002535,682.0,0.618,0.723,0,0,Current,0,Low,42570.79
LOAN002536,815.0,0.344,0.934,0,0,Current,0,Low,7969.12
LOAN002537,686.0,0.87,0.661,2,40,Current,0,Medium,134068.78
LOAN002538,661.0,0.536,0.721,0,0,Current,0,Low,7802.74
LOAN002539,693.0,0.528,0.575,0,0,Current,0,Low,80932.13
LOAN002540,566.0,0.888,,1,11,Current,0,Medium,542127.85
LOAN002541,658.0,0.557,0.612,0,0,Current,0,Medium,8762.57
LOAN002542,665.0,0.485,,0,0,Current,0,Low,10475.98
LOAN002543,712.0,0.327,,1,25,Current,0,Low,6022.61
LOAN002544,722.0,0.492,,0,0,Current,0,Low,55378.32
LOAN002545,619.0,1.03,0.824,9,180,Defaulted,1,High,1737317.05
LOAN002546,591.0,0.45,0.631,2,32,Current,0,Medium,16077.41
LOAN002547,676.0,0.453,0.597,0,0,Current,0,Low,53679.68
LOAN002548,637.0,0.702,,2,46,Current,0,Medium,56384.94
LOAN002549,660.0,0.616,0.737,0,0,Paid Off,0,Medium,92356.2
LOAN002550,633.0,1.002,0.585,9,180,Defaulted,1,High,993924.27
LOAN002551,663.0,0.498,0.579,0,0,Current,0,Low,59786.33
LOAN002552,652.0,0.32,,0,0,Current,0,Low,5173.15
LOAN002553,669.0,0.26,0.529,0,0,Paid Off,0,Low,4005.56
LOAN002554,697.0,0.358,,0,0,Current,0,Low,1764.77
LOAN002555,662.0,0.328,0.671,0,0,Current,0,Low,6422.11
LOAN002556,724.0,0.469,0.53,0,0,Current,0,Low,96173.74
LOAN002557,688.0,0.537,0.939,0,0,Current,0,Low,207638.19
LOAN002558,686.0,0.47,0.833,0,0,Current,0,Low,11676.14
LOAN002559,649.0,0.616,0.818,4,48,Current,0,Medium,177110.71
LOAN002560,624.0,0.656,0.912,3,39,Current,0,Medium,669871.55
LOAN002561,635.0,0.452,0.61,1,22,Current,0,Medium,21342.54
LOAN002562,638.0,1.041,0.663,3,66,Restructured,0,High,1069394.67
LOAN002563,640.0,1.012,0.732,7,142,Defaulted,1,High,632540.91
LOAN002564,705.0,0.508,,0,0,Current,0,Low,16070.44
LOAN002565,612.0,0.568,,6,102,Late,0,High,85480.1
LOAN002566,691.0,0.235,0.61,0,0,Current,0,Low,1978.62
LOAN002567,677.0,0.579,0.519,0,0,Current,0,Low,24123.52
LOAN002568,681.0,0.44,,0,0,Current,0,Low,37923.59
LOAN002569,640.0,0.712,0.614,1,9,Current,0,Medium,34506.82
LOAN002570,632.0,1.091,0.523,4,60,Current,0,High,376856.09
LOAN002571,686.0,0.45,0.81,0,0,Current,0,Low,7431.75
LOAN002572,727.0,0.164,,2,18,Current,0,Low,2961.7
LOAN002573,642.0,0.698,0.52,2,20,Current,0,Medium,97962.84
LOAN002574,634.0,0.973,0.666,5,180,Defaulted,1,High,366571.73
LOAN002575,639.0,0.698,0.667,3,115,Defaulted,1, MEDIUM ,346330.89
LOAN002576,710.0,0.236,0.602,1,20,Current,0,Low,1104.56
LOAN002577,,0.578,0.52,0,0,Paid Off,0,Low,35071.52
LOAN002578,701.0,0.228,0.691,0,0,Current,0,Low,7190.71
LOAN002579,671.0,0.638,0.539,0,0,Current,0,Medium,37017.47
LOAN002580,728.0,0.254,0.918,0,0,Current,0,Low,9777.88
LOAN002581,602.0,1.007,0.549,8,180,Defaulted,1,High,403991.13
LOAN002582,689.0,0.705,0.69,0,0,Current,0,Medium,64901.18
LOAN002583,673.0,0.461,0.854,0,0,Current,0,Low,27764.98
LOAN002584,603.0,1.257,,4,180,Defaulted,1,High,1318706.08
LOAN002585,713.0,0.75,0.527,2,34,Current,0,Medium,56270.3
LOAN002586,667.0,0.477,0.538,0,0,Current,0,Low,65150.79
LOAN002587,612.0,0.662,,2,20,Current,0,Medium,34569.71
LOAN002588,703.0,0.32,0.665,0,0,Current,0,Low,9160.16
LOAN002589,662.0,0.762,0.511,2,24,Current,0,Medium,22520.45
LOAN002590,584.0,0.68,0.7,2,42,Current,0,Medium,293793.98
LOAN002591,665.0,0.846,,6,48,Current,0,High,810916.74
LOAN002592,731.0,0.313,,0,0, current ,0,Low,12439.37
LOAN002593,678.0,0.64,0.652,0,0,Paid Off,0,Medium,123698.99
LOAN002594,715.0,0.562,,1,8,Current,0,Low,10303.26
LOAN002595,752.0,0.445,,0,0,Current,0,Low,3908.45
LOAN002596,713.0,0.619,0.772,0,0,Paid Off,0,Low,23136.95
LOAN002597,696.0,0.151,,0,0,Current,0,Low,1681.56
LOAN002598,652.0,0.617,,6,180,Defaulted,1,High,139070.24
LOAN002599,591.0,0.7,0.706,1,22,Current,0,Medium,159334.67
LOAN002600,730.0,0.405,,0,0,Current,0,Low,8631.81
LOAN002601,736.0,0.686,0.701,0,0,Current,0,Low,140983.81
LOAN002602,714.0,0.497,,0,0,Current,0,Low,8401.24
LOAN002603,720.0,0.544,0.863,0,0,Current,0,Low,5800.02
LOAN002604,654.0,0.514,0.552,1,24,Current,0,Medium,33229.96
LOAN002605,714.0,0.158,,0,0,Current,0,Low,1945.93
LOAN002606,652.0,0.521,0.589,0,0,Current,0,Low,13955.13
LOAN002607,601.0,0.84,,3,150,Defaulted,1,High,430767.71
LOAN002608,644.0,0.26,0.902,1,15,Current,0,Low,11060.06
LOAN002609,,0.409,0.776,1,25,Current,0,Low,29255.18
LOAN002610,625.0,0.533,0.702,2,38,Current,0,Medium,68108.26
LOAN002611,690.0,0.507,,0,0,Current,0,Low,105161.84
LOAN002612,,0.973,0.545,6,60,Current,0,High,345665.79
LOAN002613,691.0,0.273,,0,0,Current,0,Low,3638.58
LOAN002614,651.0,0.4,,0,0,Current,0,Low,3168.73
LOAN002615,643.0,0.787,0.535,4,97,Defaulted,1,High,443237.47
LOAN002616,728.0,0.355,,0,0,Paid Off,0,Low,4934.72
LOAN002617,749.0,0.727,0.506,3,30,Paid Off,0,Medium,18923.6
LOAN002618,700.0,0.37,0.538,0,0,Current,0,Low,15602.71
LOAN002619,680.0,0.664,,0,0,Current,0,Medium,7519.53
LOAN002620,646.0,0.742,0.755,7,180,Defaulted,1,High,342523.88
LOAN002621,665.0,0.138,,0,0,Current,0,Low,1499.48
LOAN002622,645.0,0.353,0.721,4,44,Current,0,Medium,6292.51
LOAN002623,723.0,0.332,0.501,1,15,Paid Off,0,Low,3704.26
LOAN002624,644.0,0.4,,2,89,Defaulted,1,Medium,57138.98
LOAN002625,693.0,0.471,,0,0,Paid Off,0,Low,16081.89
LOAN002626,694.0,0.655,0.673,1,24,Current,0,Medium,24196.32
LOAN002627,616.0,0.609,0.84,4,68,Current,0,Medium,541041.0
LOAN002628,663.0,0.749,0.845,5,180,Defaulted,1,High,128279.02
LOAN002629,636.0,0.811,0.527,1,20,Current,0,Medium,234246.81
LOAN002630,753.0,0.219,0.521,0,0,Paid Off,0,Low,2011.19
LOAN002631,615.0,0.764,0.877,9,180,Defaulted,1,High,334308.35
LOAN002632,704.0,0.444,0.878,0,0,Current,0,Low,101660.54
LOAN002633,683.0,0.812,,8,109,Defaulted,1,High,245565.99
LOAN002634,727.0,0.628,0.543,0,0,Paid Off,0,Low,20602.32
LOAN002635,710.0,0.53,0.903,0,0,Current,0, LOW ,57192.83
LOAN002636,699.0,0.268,,0,0,Current,0,Low,22160.8
LOAN002637,570.0,1.138,0.762,3,45,Current,0,High,874060.9
LOAN002638,691.0,0.523,0.638,0,0,Current,0,Low,93286.6
LOAN002639,741.0,0.585,,0,0,Current,0,Low,8619.04
LOAN002640,621.0,0.743,,2,22,Current,0,Medium,64480.99
LOAN002641,660.0,0.83,0.845,5,137,Defaulted,1,High,79264.43
LOAN002642,692.0,0.279,,1,24,Paid Off,0,low,4729.45
LOAN002643,682.0,0.304,,0,0,Current,0,Low,6313.5
LOAN002644,678.0,0.334,0.507,0,0,Current,0,Low,2587.8
LOAN002645,678.0,0.666,0.69,7,171,Defaulted,1,High,69617.02
LOAN002646,687.0,0.592,,0,0,Paid Off,0,Low,13227.57
LOAN002647,707.0,0.799,0.508,4,44,Current,0,Medium,222245.19
LOAN002648,683.0,0.47,0.799,0,0,Current,0,Low,12242.29
LOAN002649,672.0,0.283,,0,0,Current,0,Low,6092.04
LOAN002650,728.0,0.186,,0,0, CURRENT ,0,Low,5623.36
LOAN002651,677.0,0.595,0.669,1,20,Current,0,Medium,5067.87
LOAN002652,555.0,0.972,0.775,5,100,Late,0,High,626110.61
LOAN002653,610.0,1.076,0.92,5,173,Written Off,1,High,1354284.48
LOAN002654,650.0,0.364,0.594,0,0,Paid Off,0,Low,25195.9
LOAN002655,683.0,0.587,0.802,0,0,Current,0,Low,67726.86
LOAN002656,621.0,0.74,0.856,3,33,Current,0,Medium,187032.75
LOAN002657,700.0,0.371,0.867,0,0,Current,0,Low,21269.37
LOAN002658,667.0,0.264,0.534,1,14,Current,0,Low,7816.52
LOAN002659,743.0,0.563,0.714,0,0,Current,0,Low,129922.06
LOAN002660,683.0,0.332,,1,13,Paid Off,0,Low,4402.32
LOAN002661,660.0,0.61,0.661,0,0,Paid Off,0,Medium,53206.71
LOAN002662,609.0,0.943,,7,133,Late,0,High,492371.28
LOAN002663,738.0,0.395,,2,34,Current,0,Low,20726.05
LOAN002664,670.0,0.541,,0,0,Current,0,Low,25502.45
LOAN002665,666.0,0.603,,0,0,Current,0,Medium,11014.27
LOAN002666,664.0,0.744,0.515,7,112,Current,0,High,88005.99
LOAN002667,607.0,1.152,0.552,7,170,Defaulted,1,High,782919.17
LOAN002668,599.0,1.148,0.83,9,180,Defaulted,1,High,1158285.16
LOAN002669,661.0,0.553,0.571,0,0,Current,0,Low,23562.15
LOAN002670,765.0,0.394,0.555,0,0,Current,0,Low,15005.31
LOAN002671,643.0,0.44,0.627,1,23,Current,0,MEDIUM,167229.53
LOAN002672,720.0,0.578,0.781,0,0,Current,0,Low,250515.55
LOAN002673,703.0,0.512,0.584,0,0,Current,0,Low,42085.09
LOAN002674,566.0,1.101,0.941,6,180,Written Off,1,High,928617.33
LOAN002675,660.0,0.7,0.572,0,0,Current,0,Medium,552641.53
LOAN002676,665.0,0.809,0.874,7,180,Defaulted,1,High,90958.95
LOAN002677,685.0,0.269,0.876,0,0,Current,0,Low,33808.8
LOAN002678,606.0,0.581,,5,110,Late,0,High,64512.3
LOAN002679,667.0,1.145,0.79,3,69,Late,0,High,457209.09
LOAN002680,637.0,0.523,0.658,5,75,Late,0,Medium,29973.66
LOAN002681,716.0,0.247,,0,0,Current,0,Low,4957.9
LOAN002682,629.0,0.844,,4,145,Defaulted,1,High,753160.79
LOAN002683,668.0,0.705,0.549,0,0,Current,0,Medium,115298.79
LOAN002684,697.0,0.792,0.683,5,40,Current,0,Medium,153318.41
LOAN002685,601.0,0.929,,1,8,Current,0,Medium,963467.68
LOAN002686,687.0,0.751,0.67,2,20,Current,0,Medium,153578.67
LOAN002687,655.0,0.755,0.687,1,10,Current,0,Medium,17746.57
LOAN002688,611.0,0.64,0.542,2,34,Current,0,Medium,47991.97
LOAN002689,663.0,0.651,,0,0,Current,0,Medium,4567.41
LOAN002690,710.0,0.781,,6,174,Defaulted,1,High,353668.05
LOAN002691,669.0,0.441,0.808,0,0,Current,0,Low,78648.16
LOAN002692,677.0,0.128,,0,0,Current,0,Low,1149.86
LOAN002693,742.0,0.302,,0,0,Current,0,Low,7830.77
LOAN002694,734.0,0.492,,0,0,Current,0,Low,11802.74
LOAN002695,656.0,0.516,0.511,0,0,Current,0,Low,34438.47
LOAN002696,667.0,1.004,0.655,8,180,Defaulted,1,High,398297.93
LOAN002697,717.0,0.3,0.554,0,0,Current,0,Low,2727.77
LOAN002698,634.0,0.766,,2,48,Current,0,Medium,339219.22
LOAN002699,710.0,0.277,0.705,0,0,Current,0,Low,680.95
LOAN002700,709.0,0.47,0.572,0,0,Current,0,Low,4867.88
LOAN002701,641.0,0.301,0.889,0,0,Current,0,Low,19100.09
LOAN002702,684.0,0.694,0.559,0,0,Paid Off,0,Medium,79077.14
LOAN002703,628.0,0.498,0.576,3,33,Current,0,Medium,50929.59
LOAN002704,720.0,0.603,,1,10,Current,0,Low,7948.5
LOAN002705,703.0,0.175,0.514,0,0,Current,0,Low,2623.29
LOAN002706,663.0,0.513,0.714,2,86,Defaulted,1,Medium,95241.22
LOAN002707,720.0,0.845,0.506,4,60, Current ,0,Medium,289114.76
LOAN002708,642.0,0.48,0.539,2,32,Current,0,Medium,121344.88
LOAN002709,696.0,0.186,0.553,2,38,Current,0,Low,2498.04
LOAN002710,685.0,0.898,0.906,5,65,Late,0,High,320835.96
LOAN002711,781.0,0.134,0.949,0,0,Current,0,Low,5175.04
LOAN002712,698.0,0.19,,1,8,Current,0,Low,3922.71
LOAN002713,661.0,0.711,0.658,0,0,Current,0, medium ,214538.63
LOAN002714,639.0,0.582,,5,138,Defaulted,1,High,29756.44
LOAN002715,679.0,0.722,0.599,5,55,Current,0,Medium,83573.11
LOAN002716,647.0,0.324,0.654,1,12,Current,0,Low,129224.1
LOAN002717,671.0,0.201,0.591,0,0,Current,0,Low,2098.95
LOAN002718,685.0,0.233,,0,0,Current,0,Low,6052.7
LOAN002719,654.0,0.751,0.59,4,64,Current,0,Medium,360517.07
LOAN002720,699.0,0.676,,1,8,Paid Off,0,Medium,26059.52
LOAN002721,639.0,0.626,0.553,4,48,Paid Off,0,Medium,158833.68
LOAN002722,712.0,0.424,0.821,0,0,Current,0,Low,3083.52
LOAN002723,665.0,0.626,0.854,0,0,Current,0,Medium,142524.84
LOAN002724,602.0,0.582,0.671,6,60,Current,0,High,91368.37
LOAN002725,743.0,0.718,0.791,0,0,Current,0,Low,162413.44
LOAN002726,692.0,0.929,0.675,0,0,Current,0,Medium,205723.76
LOAN002727,680.0,0.318,0.55,0,0,Paid Off,0,Low,7029.37
LOAN002728,583.0,0.735,0.581,4,32,Current,0,High,96419.71
LOAN002729,670.0,0.535,0.617,0,0,Current,0,Low,5062.27
LOAN002730,696.0,0.573,,0,0,Current,0,Low,30758.76
LOAN002731,732.0,0.137,,0,0,Current,0,Low,908.7
LOAN002732,597.0,1.03,0.686,7,180,Defaulted,1,High,1080092.99
LOAN002733,,0.519,0.648,5,55,Current,0,Medium,70331.44
